Pessoa;Pergunta;Idade;Sexo;Classe
8;Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc);2 - JOVEM;Feminino;C
8;Se tem intenção de comprar algum produto específico (um IPhone por exemplo);2 - JOVEM;Feminino;C
9;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);5 - MELHOR IDADE;Feminino;D
9;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);5 - MELHOR IDADE;Feminino;D
9;Se possui animais de estimação;5 - MELHOR IDADE;Feminino;D
9;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;5 - MELHOR IDADE;Feminino;D
9;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);5 - MELHOR IDADE;Feminino;D
9;Se possui smartphone?;5 - MELHOR IDADE;Feminino;D
9;Se costuma comprar parcelado ou à vista?;5 - MELHOR IDADE;Feminino;D
9;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);5 - MELHOR IDADE;Feminino;D
9;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);5 - MELHOR IDADE;Feminino;D
9;Se possui filhos menores de 12 anos;5 - MELHOR IDADE;Feminino;D
9;Se possui casa própria ou se é alugada;5 - MELHOR IDADE;Feminino;D
9;Se os filhos estudam em colégio particular;5 - MELHOR IDADE;Feminino;D
9;Se faz academia ou pratica esportes de modo geral;5 - MELHOR IDADE;Feminino;D
9;Se gosta de ir em shows;5 - MELHOR IDADE;Feminino;D
9;Se tem plano de saúde;5 - MELHOR IDADE;Feminino;D
9;Sobre a sua operadora de telefonia (Claro, Vivo e etc);5 - MELHOR IDADE;Feminino;D
9;Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc);5 - MELHOR IDADE;Feminino;D
10;Informações sociais como sexo, idade, estado civil por exemplo;2 - JOVEM;Feminino;E
10;Se os filhos estudam em colégio particular;2 - JOVEM;Feminino;E
11;Se possui animais de estimação;2 - JOVEM;Feminino;E
11;Informações sociais como sexo, idade, estado civil por exemplo;2 - JOVEM;Feminino;E
11;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;2 - JOVEM;Feminino;E
11;Se possui smartphone?;2 - JOVEM;Feminino;E
11;Se costuma comprar parcelado ou à vista?;2 - JOVEM;Feminino;E
11;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);2 - JOVEM;Feminino;E
11;Se possui filhos menores de 12 anos;2 - JOVEM;Feminino;E
11;Se possui filhos menores de 18 anos;2 - JOVEM;Feminino;E
11;Se possui casa própria ou se é alugada;2 - JOVEM;Feminino;E
11;Se os filhos estudam em colégio particular;2 - JOVEM;Feminino;E
11;Sobre a profissão que exerce;2 - JOVEM;Feminino;E
11;Se faz academia ou pratica esportes de modo geral;2 - JOVEM;Feminino;E
11;Se gosta de ir em shows;2 - JOVEM;Feminino;E
12;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);2 - JOVEM;Feminino;E
12;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);2 - JOVEM;Feminino;E
12;Aniversário e outras datas festivas (Casamento por exemplo);2 - JOVEM;Feminino;E
12;Se possui animais de estimação;2 - JOVEM;Feminino;E
12;Informações sociais como sexo, idade, estado civil por exemplo;2 - JOVEM;Feminino;E
12;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;2 - JOVEM;Feminino;E
12;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);2 - JOVEM;Feminino;E
12;Se possui smartphone?;2 - JOVEM;Feminino;E
12;Se costuma comprar parcelado ou à vista?;2 - JOVEM;Feminino;E
12;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);2 - JOVEM;Feminino;E
12;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);2 - JOVEM;Feminino;E
12;Se possui filhos menores de 12 anos;2 - JOVEM;Feminino;E
12;Se possui filhos menores de 18 anos;2 - JOVEM;Feminino;E
12;Se possui casa própria ou se é alugada;2 - JOVEM;Feminino;E
12;Se os filhos estudam em colégio particular;2 - JOVEM;Feminino;E
12;Sobre a profissão que exerce;2 - JOVEM;Feminino;E
12;Se faz academia ou pratica esportes de modo geral;2 - JOVEM;Feminino;E
12;Se gosta de ir em shows;2 - JOVEM;Feminino;E
12;Se tem plano de saúde;2 - JOVEM;Feminino;E
12;Se gosta de viajar e com que frequência;2 - JOVEM;Feminino;E
12;Sobre a sua operadora de telefonia (Claro, Vivo e etc);2 - JOVEM;Feminino;E
12;Se o celular é pós pago ou pré pago;2 - JOVEM;Feminino;E
12;Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc);2 - JOVEM;Feminino;E
12;Se tem intenção de comprar algum produto específico (um IPhone por exemplo);2 - JOVEM;Feminino;E
12;Eu não responderia à nenhuma destas questões;2 - JOVEM;Feminino;E
13;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);4 - MADURO;Feminino;B
13;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);4 - MADURO;Feminino;B
13;Se possui animais de estimação;4 - MADURO;Feminino;B
13;Se faz academia ou pratica esportes de modo geral;4 - MADURO;Feminino;B
13;Se gosta de viajar e com que frequência;4 - MADURO;Feminino;B
13;Sobre a sua operadora de telefonia (Claro, Vivo e etc);4 - MADURO;Feminino;B
13;Se o celular é pós pago ou pré pago;4 - MADURO;Feminino;B
14;Características do veículo (marca, ano e etc);4 - MADURO;Feminino;B
14;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);4 - MADURO;Feminino;B
14;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);4 - MADURO;Feminino;B
14;Aniversário e outras datas festivas (Casamento por exemplo);4 - MADURO;Feminino;B
14;Se possui animais de estimação;4 - MADURO;Feminino;B
14;Informações sociais como sexo, idade, estado civil por exemplo;4 - MADURO;Feminino;B
14;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;4 - MADURO;Feminino;B
14;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);4 - MADURO;Feminino;B
14;Se possui smartphone?;4 - MADURO;Feminino;B
14;Se costuma comprar parcelado ou à vista?;4 - MADURO;Feminino;B
14;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);4 - MADURO;Feminino;B
14;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);4 - MADURO;Feminino;B
14;Se possui filhos menores de 12 anos;4 - MADURO;Feminino;B
14;Se possui filhos menores de 18 anos;4 - MADURO;Feminino;B
14;Se possui casa própria ou se é alugada;4 - MADURO;Feminino;B
14;Se os filhos estudam em colégio particular;4 - MADURO;Feminino;B
14;Sobre a profissão que exerce;4 - MADURO;Feminino;B
14;Se faz academia ou pratica esportes de modo geral;4 - MADURO;Feminino;B
14;Se gosta de ir em shows;4 - MADURO;Feminino;B
14;Se tem plano de saúde;4 - MADURO;Feminino;B
14;Se possui seguro de vida, de imóvel ou de carro;4 - MADURO;Feminino;B
14;Se gosta de viajar e com que frequência;4 - MADURO;Feminino;B
14;Sobre a sua operadora de telefonia (Claro, Vivo e etc);4 - MADURO;Feminino;B
14;Se o celular é pós pago ou pré pago;4 - MADURO;Feminino;B
14;Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc);4 - MADURO;Feminino;B
14;Se tem intenção de comprar algum produto específico (um IPhone por exemplo);4 - MADURO;Feminino;B
15;Se possui animais de estimação;2 - JOVEM;Feminino;E
15;Se possui filhos menores de 18 anos;2 - JOVEM;Feminino;E
16;Eu não responderia à nenhuma destas questões;2 - JOVEM;Feminino;D
17;Características do veículo (marca, ano e etc);2 - JOVEM;Feminino;D
17;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);2 - JOVEM;Feminino;D
17;Se possui smartphone?;2 - JOVEM;Feminino;D
17;Se possui filhos menores de 12 anos;2 - JOVEM;Feminino;D
17;Se possui filhos menores de 18 anos;2 - JOVEM;Feminino;D
17;Se possui casa própria ou se é alugada;2 - JOVEM;Feminino;D
17;Se gosta de viajar e com que frequência;2 - JOVEM;Feminino;D
17;Sobre a sua operadora de telefonia (Claro, Vivo e etc);2 - JOVEM;Feminino;D
17;Se o celular é pós pago ou pré pago;2 - JOVEM;Feminino;D
18;Características do veículo (marca, ano e etc);2 - JOVEM;Feminino;E
18;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);2 - JOVEM;Feminino;E
18;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);2 - JOVEM;Feminino;E
18;Aniversário e outras datas festivas (Casamento por exemplo);2 - JOVEM;Feminino;E
18;Se possui animais de estimação;2 - JOVEM;Feminino;E
18;Informações sociais como sexo, idade, estado civil por exemplo;2 - JOVEM;Feminino;E
18;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;2 - JOVEM;Feminino;E
18;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);2 - JOVEM;Feminino;E
18;Se possui smartphone?;2 - JOVEM;Feminino;E
18;Se costuma comprar parcelado ou à vista?;2 - JOVEM;Feminino;E
18;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);2 - JOVEM;Feminino;E
18;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);2 - JOVEM;Feminino;E
18;Se possui filhos menores de 12 anos;2 - JOVEM;Feminino;E
18;Se possui filhos menores de 18 anos;2 - JOVEM;Feminino;E
18;Se possui casa própria ou se é alugada;2 - JOVEM;Feminino;E
18;Se os filhos estudam em colégio particular;2 - JOVEM;Feminino;E
18;Sobre a profissão que exerce;2 - JOVEM;Feminino;E
18;Se faz academia ou pratica esportes de modo geral;2 - JOVEM;Feminino;E
18;Se gosta de ir em shows;2 - JOVEM;Feminino;E
18;Se tem plano de saúde;2 - JOVEM;Feminino;E
18;Se possui seguro de vida, de imóvel ou de carro;2 - JOVEM;Feminino;E
18;Se gosta de viajar e com que frequência;2 - JOVEM;Feminino;E
18;Sobre a sua operadora de telefonia (Claro, Vivo e etc);2 - JOVEM;Feminino;E
18;Se o celular é pós pago ou pré pago;2 - JOVEM;Feminino;E
18;Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc);2 - JOVEM;Feminino;E
18;Se tem intenção de comprar algum produto específico (um IPhone por exemplo);2 - JOVEM;Feminino;E
18;Eu não responderia à nenhuma destas questões;2 - JOVEM;Feminino;E
19;Se possui smartphone?;2 - JOVEM;Feminino;E
19;Sobre a sua operadora de telefonia (Claro, Vivo e etc);2 - JOVEM;Feminino;E
20;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);2 - JOVEM;Feminino;C
20;Se possui animais de estimação;2 - JOVEM;Feminino;C
20;Informações sociais como sexo, idade, estado civil por exemplo;2 - JOVEM;Feminino;C
20;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);2 - JOVEM;Feminino;C
20;Se possui smartphone?;2 - JOVEM;Feminino;C
20;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);2 - JOVEM;Feminino;C
20;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);2 - JOVEM;Feminino;C
20;Se gosta de ir em shows;2 - JOVEM;Feminino;C
20;Sobre a sua operadora de telefonia (Claro, Vivo e etc);2 - JOVEM;Feminino;C
20;Se o celular é pós pago ou pré pago;2 - JOVEM;Feminino;C
20;Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc);2 - JOVEM;Feminino;C
21;Características do veículo (marca, ano e etc);5 - MELHOR IDADE;Feminino;C
21;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);5 - MELHOR IDADE;Feminino;C
21;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);5 - MELHOR IDADE;Feminino;C
21;Aniversário e outras datas festivas (Casamento por exemplo);5 - MELHOR IDADE;Feminino;C
21;Se possui animais de estimação;5 - MELHOR IDADE;Feminino;C
21;Informações sociais como sexo, idade, estado civil por exemplo;5 - MELHOR IDADE;Feminino;C
21;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);5 - MELHOR IDADE;Feminino;C
21;Se possui smartphone?;5 - MELHOR IDADE;Feminino;C
21;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);5 - MELHOR IDADE;Feminino;C
21;Sobre a profissão que exerce;5 - MELHOR IDADE;Feminino;C
21;Se gosta de viajar e com que frequência;5 - MELHOR IDADE;Feminino;C
21;Sobre a sua operadora de telefonia (Claro, Vivo e etc);5 - MELHOR IDADE;Feminino;C
21;Se tem intenção de comprar algum produto específico (um IPhone por exemplo);5 - MELHOR IDADE;Feminino;C
22;Eu não responderia à nenhuma destas questões;1 - ADOLESCENTE;Feminino;C
23;Características do veículo (marca, ano e etc);2 - JOVEM;Feminino;C
23;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);2 - JOVEM;Feminino;C
23;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);2 - JOVEM;Feminino;C
23;Aniversário e outras datas festivas (Casamento por exemplo);2 - JOVEM;Feminino;C
23;Se possui animais de estimação;2 - JOVEM;Feminino;C
23;Informações sociais como sexo, idade, estado civil por exemplo;2 - JOVEM;Feminino;C
23;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;2 - JOVEM;Feminino;C
23;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);2 - JOVEM;Feminino;C
23;Se possui smartphone?;2 - JOVEM;Feminino;C
23;Se costuma comprar parcelado ou à vista?;2 - JOVEM;Feminino;C
23;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);2 - JOVEM;Feminino;C
23;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);2 - JOVEM;Feminino;C
23;Se possui filhos menores de 12 anos;2 - JOVEM;Feminino;C
23;Se possui filhos menores de 18 anos;2 - JOVEM;Feminino;C
23;Se possui casa própria ou se é alugada;2 - JOVEM;Feminino;C
23;Se os filhos estudam em colégio particular;2 - JOVEM;Feminino;C
23;Sobre a profissão que exerce;2 - JOVEM;Feminino;C
23;Se faz academia ou pratica esportes de modo geral;2 - JOVEM;Feminino;C
23;Se gosta de ir em shows;2 - JOVEM;Feminino;C
23;Se tem plano de saúde;2 - JOVEM;Feminino;C
23;Se possui seguro de vida, de imóvel ou de carro;2 - JOVEM;Feminino;C
23;Se gosta de viajar e com que frequência;2 - JOVEM;Feminino;C
23;Sobre a sua operadora de telefonia (Claro, Vivo e etc);2 - JOVEM;Feminino;C
23;Se o celular é pós pago ou pré pago;2 - JOVEM;Feminino;C
23;Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc);2 - JOVEM;Feminino;C
23;Se tem intenção de comprar algum produto específico (um IPhone por exemplo);2 - JOVEM;Feminino;C
23;Eu não responderia à nenhuma destas questões;2 - JOVEM;Feminino;C
24;Informações sociais como sexo, idade, estado civil por exemplo;2 - JOVEM;Feminino;E
24;Se costuma comprar parcelado ou à vista?;2 - JOVEM;Feminino;E
24;Se faz academia ou pratica esportes de modo geral;2 - JOVEM;Feminino;E
24;Se tem intenção de comprar algum produto específico (um IPhone por exemplo);2 - JOVEM;Feminino;E
25;Aniversário e outras datas festivas (Casamento por exemplo);2 - JOVEM;Feminino;C
25;Se possui animais de estimação;2 - JOVEM;Feminino;C
25;Se possui smartphone?;2 - JOVEM;Feminino;C
25;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);2 - JOVEM;Feminino;C
25;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);2 - JOVEM;Feminino;C
25;Se possui filhos menores de 12 anos;2 - JOVEM;Feminino;C
25;Se possui filhos menores de 18 anos;2 - JOVEM;Feminino;C
25;Se os filhos estudam em colégio particular;2 - JOVEM;Feminino;C
25;Se faz academia ou pratica esportes de modo geral;2 - JOVEM;Feminino;C
25;Se gosta de ir em shows;2 - JOVEM;Feminino;C
26;Características do veículo (marca, ano e etc);2 - JOVEM;Feminino;C
26;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);2 - JOVEM;Feminino;C
26;Aniversário e outras datas festivas (Casamento por exemplo);2 - JOVEM;Feminino;C
26;Se possui animais de estimação;2 - JOVEM;Feminino;C
26;Informações sociais como sexo, idade, estado civil por exemplo;2 - JOVEM;Feminino;C
26;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;2 - JOVEM;Feminino;C
26;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);2 - JOVEM;Feminino;C
26;Se possui smartphone?;2 - JOVEM;Feminino;C
26;Se costuma comprar parcelado ou à vista?;2 - JOVEM;Feminino;C
26;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);2 - JOVEM;Feminino;C
26;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);2 - JOVEM;Feminino;C
26;Se possui filhos menores de 12 anos;2 - JOVEM;Feminino;C
26;Sobre a profissão que exerce;2 - JOVEM;Feminino;C
26;Se faz academia ou pratica esportes de modo geral;2 - JOVEM;Feminino;C
26;Se gosta de ir em shows;2 - JOVEM;Feminino;C
26;Se gosta de viajar e com que frequência;2 - JOVEM;Feminino;C
26;Sobre a sua operadora de telefonia (Claro, Vivo e etc);2 - JOVEM;Feminino;C
26;Se o celular é pós pago ou pré pago;2 - JOVEM;Feminino;C
26;Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc);2 - JOVEM;Feminino;C
26;Se tem intenção de comprar algum produto específico (um IPhone por exemplo);2 - JOVEM;Feminino;C
27;Características do veículo (marca, ano e etc);1 - ADOLESCENTE;Feminino;B
27;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);1 - ADOLESCENTE;Feminino;B
27;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);1 - ADOLESCENTE;Feminino;B
27;Aniversário e outras datas festivas (Casamento por exemplo);1 - ADOLESCENTE;Feminino;B
27;Se possui animais de estimação;1 - ADOLESCENTE;Feminino;B
27;Informações sociais como sexo, idade, estado civil por exemplo;1 - ADOLESCENTE;Feminino;B
27;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;1 - ADOLESCENTE;Feminino;B
27;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);1 - ADOLESCENTE;Feminino;B
27;Se possui smartphone?;1 - ADOLESCENTE;Feminino;B
27;Se costuma comprar parcelado ou à vista?;1 - ADOLESCENTE;Feminino;B
27;Se possui filhos menores de 12 anos;1 - ADOLESCENTE;Feminino;B
27;Se possui filhos menores de 18 anos;1 - ADOLESCENTE;Feminino;B
27;Se possui casa própria ou se é alugada;1 - ADOLESCENTE;Feminino;B
27;Se os filhos estudam em colégio particular;1 - ADOLESCENTE;Feminino;B
27;Sobre a profissão que exerce;1 - ADOLESCENTE;Feminino;B
27;Se faz academia ou pratica esportes de modo geral;1 - ADOLESCENTE;Feminino;B
27;Se tem intenção de comprar algum produto específico (um IPhone por exemplo);1 - ADOLESCENTE;Feminino;B
28;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);2 - JOVEM;Feminino;E
28;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);2 - JOVEM;Feminino;E
28;Aniversário e outras datas festivas (Casamento por exemplo);2 - JOVEM;Feminino;E
28;Informações sociais como sexo, idade, estado civil por exemplo;2 - JOVEM;Feminino;E
28;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);2 - JOVEM;Feminino;E
28;Se os filhos estudam em colégio particular;2 - JOVEM;Feminino;E
28;Se gosta de ir em shows;2 - JOVEM;Feminino;E
28;Se gosta de viajar e com que frequência;2 - JOVEM;Feminino;E
28;Se tem intenção de comprar algum produto específico (um IPhone por exemplo);2 - JOVEM;Feminino;E
29;Aniversário e outras datas festivas (Casamento por exemplo);5 - MELHOR IDADE;Feminino;C
29;Se possui animais de estimação;5 - MELHOR IDADE;Feminino;C
29;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);5 - MELHOR IDADE;Feminino;C
29;Se possui casa própria ou se é alugada;5 - MELHOR IDADE;Feminino;C
29;Se gosta de ir em shows;5 - MELHOR IDADE;Feminino;C
29;Sobre a sua operadora de telefonia (Claro, Vivo e etc);5 - MELHOR IDADE;Feminino;C
29;Se o celular é pós pago ou pré pago;5 - MELHOR IDADE;Feminino;C
30;Características do veículo (marca, ano e etc);1 - ADOLESCENTE;Feminino;D
30;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);1 - ADOLESCENTE;Feminino;D
30;Se possui animais de estimação;1 - ADOLESCENTE;Feminino;D
30;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;1 - ADOLESCENTE;Feminino;D
30;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);1 - ADOLESCENTE;Feminino;D
30;Se possui smartphone?;1 - ADOLESCENTE;Feminino;D
30;Se costuma comprar parcelado ou à vista?;1 - ADOLESCENTE;Feminino;D
30;Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc);1 - ADOLESCENTE;Feminino;D
30;Sobre rede social preferida? (Facebook, Twitter, Instagram e etc);1 - ADOLESCENTE;Feminino;D
30;Sobre a sua operadora de telefonia (Claro, Vivo e etc);1 - ADOLESCENTE;Feminino;D
30;Se o celular é pós pago ou pré pago;1 - ADOLESCENTE;Feminino;D
31;Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc);1 - ADOLESCENTE;Feminino;E
31;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);1 - ADOLESCENTE;Feminino;E
31;Aniversário e outras datas festivas (Casamento por exemplo);1 - ADOLESCENTE;Feminino;E
31;Se possui animais de estimação;1 - ADOLESCENTE;Feminino;E
31;Informações sociais como sexo, idade, estado civil por exemplo;1 - ADOLESCENTE;Feminino;E
31;Se costuma comprar por impulso ou pesquisa bastante antes de comprar;1 - ADOLESCENTE;Feminino;E
31;A frequência com que compra pela internet (semanal, quinzenal, mensal e etc);1 - ADOLESCENTE;Feminino;E
31;Se possui smartphone?;1 - ADOLESCENTE;Feminino;E
31;Se costuma comprar parcelado ou à vista?;1 - ADOLESCENTE;Feminino;E
