Pessoa;P1;P2;P3;P4;P5;P6;P7;P8;P9;Sexo;Idade;Região;Classe Social
11;Baixo;Baixo;Responder perguntas sobre os meus contatos;9;"Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows";De 41 a 50;Até R$ 724;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;23;Sudeste;E
12;Justo;Baixo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo) ; Eu não responderia à nenhuma destas questões";Mais de 50;Até R$ 1.448;Me sinto extremamente desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais";Feminino;26;Sudeste;E
13;Justo;Justo;Responder perguntas sobre os meus contatos;4;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Se faz academia ou pratica esportes de modo geral ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago";Menos de 5;Acima de R$ 7.240;Me sinto extremamente desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;48;Sul;B
14;Justo;Baixo;Vender presencialmente;7;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 1.448;Me sinto um pouco desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;50;Sudeste;B
15;Justo;Justo;Adicionar contatos;7;"Se possui animais de estimação ; Se possui filhos menores de 18 anos";De 31 a 40;Não possuo;Me sinto um pouco desconfortável;Vendas presenciais;Feminino;27;Sudeste;E
16;Baixo;Baixo;Adicionar contatos;5;Eu não responderia à nenhuma destas questões;Menos de 5;Até R$ 1.448;Me sinto extremamente desconfortável;Outros: Nada;Feminino;23;Sudeste;D
17;Justo;Baixo;O aplicativo enviar ofertas aos meus contatos;7;"Características do veículo (marca, ano e etc) ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago";De 21 a 30;Até R$ 724;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;28;Nordeste;D
18;Baixo;Baixo;Compartilhar link de oferta;7.0;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo) ; Eu não responderia à nenhuma destas questões";Menos de 5;Não possuo;Não sei se sinto confortável ou desconfortável;"Vendas presenciais ; Pesquisas de mercado em campo para nossas empresas parceiras";Feminino;25;Sudeste;E
19;Baixo;Justo;O aplicativo enviar ofertas aos meus contatos;2;"Se possui smartphone?  ; Sobre a sua operadora de telefonia (Claro, Vivo e etc)";Menos de 5;Até R$ 724;Me sinto extremamente desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;23;Sudeste;E
20;Baixo;Justo;O aplicativo enviar ofertas aos meus contatos;5;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se gosta de ir em shows ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";De 5 a 11;Até R$ 724;Me sinto um pouco desconfortável;"Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;21;Sudeste;C
21;Baixo;Justo;Responder perguntas sobre os meus contatos;7;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Sobre a profissão que exerce ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 5 a 11;Não possuo;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;56;Norte;C
22;Justo;Baixo;O aplicativo enviar ofertas aos meus contatos;6;Eu não responderia à nenhuma destas questões;Menos de 5;Até R$ 1.448;Me sinto extremamente desconfortável;Pesquisas de mercado em campo para nossas empresas parceiras;Feminino;19;Sudeste;C
23;Justo;Justo;Compartilhar link de oferta;6;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo) ; Eu não responderia à nenhuma destas questões";Menos de 5;Não possuo;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;24;Sul;C
24;Justo;Justo;Vender presencialmente;10 (Instalaria com certeza);"Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar parcelado ou à vista? ; Se faz academia ou pratica esportes de modo geral ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Não possuo;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Pesquisas de mercado em campo para nossas empresas parceiras";Feminino;27;Sudeste;E
25;Justo;Baixo;O aplicativo enviar ofertas aos meus contatos;6;"Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se os filhos estudam em colégio particular ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows";De 5 a 11;Não possuo;Me sinto um pouco desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;21;Sudeste;C
26;Baixo;Justo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);10 (Instalaria com certeza);"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Até R$ 724;Me sinto um pouco desconfortável;"Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;21;Sudeste;C
27;Baixo;Justo;Responder perguntas sobre os meus contatos;5;"Características do veículo (marca, ano e etc) ; Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 21 a 30;Não possuo;Não sei se sinto confortável ou desconfortável;"Vendas presenciais ; Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;17;Sudeste;B
28;Justo;Baixo;Vender presencialmente;9;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Informações sociais como sexo, idade, estado civil por exemplo ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se os filhos estudam em colégio particular ; Se gosta de ir em shows ; Se gosta de viajar e com que frequência ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 5 a 11;Não possuo;Não sei se sinto confortável ou desconfortável;Vendas presenciais;Feminino;21;Nordeste;E
29;Justo;Baixo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);"Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui casa própria ou se é alugada ; Se gosta de ir em shows ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago";De 11 a 20;Até R$ 3.620;Me sinto um pouco confortável;"Fazer entregas com o seu veículo ; Pesquisas de mercado em campo para nossas empresas parceiras";Feminino;57;Sul;C
30;Justo;Baixo;Vender presencialmente;5;"Características do veículo (marca, ano e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago";De 21 a 30;Não possuo;Me sinto um pouco confortável;Vendas via rede social (compartilhando links de ofertas);Feminino;17;Nordeste;D
31;Baixo;Baixo;Outros: A comissão de apenas 5%;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Menos de 5;Não possuo;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;20;Sudeste;E
32;Baixo;Baixo;Compartilhar link de oferta;5;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Informações sociais como sexo, idade, estado civil por exemplo ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";Mais de 50;Não possuo;Me sinto um pouco confortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;19;Sul;C
33;Justo;Justo;Vender presencialmente;8;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se faz academia ou pratica esportes de modo geral ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";Menos de 5;Até R$ 724;Me sinto extremamente confortável;"Vendas via rede social (compartilhando links de ofertas) ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;37;Sudeste;E
34;Baixo;Baixo;Vender presencialmente;5;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 21 a 30;Até R$ 3.620;Me sinto extremamente desconfortável;"Fazer entregas com o seu veículo ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;52;Sudeste;C
